,indexAudible,nombreAutor
0,0,GeronimoStilton
1,1,RickRiordan
2,2,JeffKinney
3,3,RickRiordan
4,4,RickRiordan
5,5,SuzanneCollins
6,6,WinterMorgan
7,7,RickRiordan
8,8,MaryPopeOsborne
9,9,RickRiordan
10,10,RickRiordan
11,11,MaryPopeOsborne
12,12,MaryPopeOsborne
13,13,RickRiordan
14,14,PhilipPullman
15,15,GeronimoStilton
16,16,MaryPopeOsborne
17,17,ShannonMessenger
18,18,MaryPopeOsborne
19,19,ShannonMessenger
20,20,RickRiordan
21,21,ChristopherPaolini
22,22,EoinColfer
23,23,GeronimoStilton
24,24,RickRiordan
25,25,A.A.Milne
26,26,MaryPopeOsborne
27,27,GeronimoStilton
28,28,RickRiordan
29,29,WinterMorgan
30,30,GeronimoStilton
31,31,A.A.Milne
32,32,DanGutman
33,33,TuiT.Sutherland
34,34,NayomiPhillips
35,35,RuskinBond
36,36,GeronimoStilton
37,37,TuiT.Sutherland
38,38,ShannonMessenger
39,39,WinterMorgan
40,40,ShannonMessenger
41,41,CarolynKeene
42,42,CarolynKeene
43,43,JeffKinney
44,44,ShannonMessenger
45,45,FranklinW.Dixon
46,46,RickRiordan
47,47,WinterMorgan
48,48,WinterMorgan
49,49,TuiT.Sutherland
50,50,MichaelBond
51,51,SuzanneCollins
52,52,TuiT.Sutherland
53,53,JuliaDonaldson
54,53,AxelScheffler
55,54,MaryPopeOsborne
56,55,BrandonMull
57,56,ShannonMessenger
58,57,WinterMorgan
59,58,DavPilkey
60,59,DanGutman
61,60,DanGutman
62,61,DustiBowling
63,62,JulieSykes
64,63,StellaRobson
65,64,TuiT.Sutherland
66,65,TuiT.Sutherland
67,66,JudeWatson
68,67,DanGutman
69,68,FranklinW.Dixon
70,69,JulieSykes
71,70,FranciscoDíazValladares
72,71,Mattel
73,72,Vegetta777
74,72,Willyrex
75,73,RoshaniChokshi
76,74,SophieSchoenwald
77,74,NadineReitz-Illustrator
78,75,HollyRivers
79,76,LeahCypess
80,77,BertrandFichou
81,77,NoraThullin
82,77,CatherinedeLasa
83,77,
84,78,OrianneLallemand
85,79,AdamBlade
86,80,JessicaKhoury
87,81,LeahCypess
88,82,DavPilkey
89,83,YoonHaLee
90,84,JonathanStroud
91,85,JeffKinney
92,86,WinterMorgan
93,87,FranklinW.Dixon
94,88,MarkCheverton
95,89,CarolynKeene
96,90,JessicaRenwick
97,91,NeilGaiman
98,92,WinterMorgan
99,93,LeeBacon
100,94,R.L.Stine
101,95,WinterMorgan
102,96,DavidWalliams
103,97,FranklinW.Dixon
104,98,DevinHunter
105,99,LoriM.Lee
106,100,Mattel
107,101,M.G.Leonard
108,101,SamSedgman
109,102,MattHaig
110,103,JudeWatson
111,104,PeterLerangis
112,105,FranklinW.Dixon
113,106,RobinStevens
114,107,DavidWalliams
115,108,CarolynKeene
116,109,M.G.Leonard
117,109,SamSedgman
118,109,ElisaPaganelli-illustrator
119,110,ShannonMessenger
120,111,TomFletcher
121,112,TerriFarley
122,113,ShannonHale
123,113,DeanHale
124,114,CarolynKeene
125,115,TraceyWest
126,116,FranklinW.Dixon
127,117,Mattel
128,117,MartaCisaMuñoz-traductor
129,118,C.J.Redwine
130,119,KatherineApplegate
131,120,GertrudeChandlerWarner
132,121,FranklinW.Dixon
133,122,CarolynKeene
134,123,C.S.Lewis
135,124,LucyBrandt
136,125,JuliaDonaldson
137,126,RuskinBond
138,127,TuiT.Sutherland
139,128,AnthonyHorowitz
140,129,Marvel
141,129,CamillaDunér
142,130,Disney
143,130,OskarBlomberg
144,131,StephieMorton
145,131,NicoleWong-illustrator
146,132,FranklinW.Dixon
147,133,FranklinW.Dixon
148,134,Mattel
149,134,NicolásOluchaSánchez
150,135,GiuliaSegreti
151,136,RonaldL.Smith
152,137,NatalieStandiford
153,138,Sanrio
154,138,NeusCasanovaVico
155,139,RobertLouisStevenson
156,140,Ladybird
157,141,NickyDrayden
158,142,TomFletcher
159,142,ShaneDevries-illustrator
160,143,ShannonMessenger
161,143,DorisAttwood-Übersetzer
