,idAudible,nombreNarrador
0,0,BillLobely
1,1,RobbieDaymond
2,2,DanRussell
3,3,SoneelaNankani
4,4,JesseBernstein
5,5,TatianaMaslany
6,6,LukeDaniels
7,7,RobbieDaymond
8,8,MaryPopeOsborne
9,9,RobbieDaymond
10,10,JesseBernstein
11,11,MaryPopeOsborne
12,12,MaryPopeOsborne
13,13,MichaelCrouch
14,14,PhilipPullman
15,15,fullcast
16,16,RuthWilson
17,17,BillLobley
18,18,MaryPopeOsborne
19,19,CaitlinKelly
20,20,MaryPopeOsborne
21,21,CaitlinKelly
22,22,RobbieDaymond
23,23,GerrardDoyle
24,24,GerryO'Brien
25,25,BillLobley
26,26,JesseBernstein
27,27,PeterDennis
28,28,MaryPopeOsborne
29,29,BillLobley
30,30,JaneCollingwood
31,31,JosephMay
32,32,LukeDaniels
33,33,BillLobley
34,34,PeterDennis
35,35,MichaelGoldstrom
36,36,ShannonMcManus
37,37,MonicaRachelle
38,38,JimD.Johnston
39,39,KatieOtten
40,40,NehaGargava
41,41,BillLobley
42,42,ShannonMcManus
43,43,CaitlinKelly
44,44,LukeDaniels
45,45,CaitlinKelly
46,46,JorjeanaMarie
47,47,JorjeanaMarie
48,48,ChristopherGebauer
49,49,CaitlinKelly
50,50,TimGregory
51,51,WalterLewis
52,52,LukeDaniels
53,53,LukeDaniels
54,53,ShannonMcManus
55,54,StephenFry
56,55,PaulBoehmer
57,56,ShannonMcManus
58,57,ImeldaStaunton
59,58,MaryPopeOsborne
60,59,E.B.Stevens
61,60,CaitlinKelly
62,61,LukeDaniels
63,62,LenForgione
64,63,AshtonSundholm
65,64,JadenRogers
66,65,MichaelGoldstrom
67,66,MichaelGoldstrom
68,67,StacyGonzalez
69,68,KristinAtherton
70,69,DerekSteel
71,70,ShannonMcManus
72,71,ShannonMcManus
73,72,DavidPittu
74,72,MichaelGoldstrom
75,73,TimGregory
76,74,KristinAtherton
77,74,NuriaSamsó
78,75,VanessaPérezJurado
79,76,ÁlexdePorrata
80,77,SoneelaNankani
81,77,BerndReheuser
82,77,SusieTrayling
83,77,JessicaAlmasy
84,78,GuyChappelier
85,79,FrédéricSanchez
86,80,MarieZidi
87,81,
88,82,WillProduction
89,83,TheoSolomon
90,84,MichaelGallagher
91,85,EmilyEiden
92,86,KeylorLeigh
93,87,LenForgione
94,88,WinstonBromhead
95,89,I'keMitchell
96,90,ElissaPark
97,91,StevenPacey
98,92,ChristopherGebauer
99,93,SummerMcCusker
100,94,TimGregory
101,95,NickWalther
102,96,JorjeanaMarie
103,97,RebaBuhr
104,98,NeilGaiman
105,99,SummerMcCusker
106,100,PaulPanting
107,101,JordanFisher
108,101,DaschaPolanco
109,102,JonieceAbbott-Pratt
110,103,
111,104,SummerMcCusker
112,105,DavidWalliams
113,106,PeterSerafinowicz
114,107,MorwennaBanks
115,108,
116,109,AdamVerner
117,109,RamonDeOcampo
118,109,SamanthaTan
119,110,VanessaPérezJurado
120,111,ElisaPaganelli
121,112,JotDavies
122,113,StephenFry
123,113,DavidPittu
124,114,DavidPittu
125,115,TimGregory
126,116,KatieLeung
127,117,RebeccaLee
128,117,AlexanderCapon
129,118,
130,119,DavidWalliams
131,120,NitinGanatra
132,121,JorjeanaMarie
133,122,JotDavies
134,123,CaitlinKelly
135,124,TomFelton
136,125,TomFletcher
137,126,NatalieBudig
138,127,JuliaWhelan
139,128,JorjeanaMarie
140,129,EmilyEllet
141,129,TimGregory
142,130,MiriamMonlleo
143,130,MiaSinclairJenness
144,131,EmilyEllet
145,131,AimeeLilly
146,132,TimGregory
147,133,JorjeanaMarie
148,134,KennethBranagh
149,134,NicoleDavis
150,135,ImeldaStaunton
151,136,AdnanKapadia
152,137,ShannonMcManus
153,138,OliverChris
154,138,MalinLybeck
155,139,FrederickHalbout
156,140,StevenJayCohen
157,141,TimGregory
158,142,TimGregory
159,142,BeatrizOlcina
160,143,GiuliaSegreti
161,143,MarcoCognigni
162,144,DionGraham
163,145,DavidPittu
164,146,EvaAndrés
165,147,SamTaylor
166,148,BenBaileySmith
167,148,NicoleLewis
168,149,PaulShelley
169,150,TomFletcher
170,150,DavidNathan
171,151,CristinaTenorio
172,151,LissaEvans
173,152,JoshuaMcGuire
174,152,JamesMurray
175,153,KirbyHeyborne
176,154,InésdelCastillo
177,155,
178,156,LisaAhnlund
179,157,AimeeLilly
180,157,HumzaArshad
181,158,GregJames
182,159,ChrisSmith
183,160,BeatrizOlcina
184,161,VanessaPérezJurado
185,161,VanessaPérezJurado
186,162,VanessaPérezJurado
187,162,TommyJay
188,163,MalorieBlackman
189,163,MattiasLinderoth
190,164,JoshuaMcGuire
191,164,GildartJackson
192,165,TimCampbell
193,166,ChristianMcKayHeidicker
194,166,MagnusSchmitz
195,167,FrederickHalbout
196,168,YohanChacko
197,169,JohnKeating
198,170,RebeccaK.Reynolds
199,171,MontyArnold
200,171,KaiLüftner
201,172,KaiLüftner
202,173,MartinBaltscheit
203,174,MathiasKlenske
204,175,NatalieBudig
205,176,StefanPopa
206,177,ChloeCannon
207,178,JotDavies
208,179,HayleyWareham
209,180,JacobWeigert
210,181,JuliaBarrie
211,182,MonikaOschek
212,183,AnetaFernández
213,184,CharlieSanderson
214,185,ChrisSmith
215,185,KariseYansen
216,186,RoyMcMillan
217,187,NicolZanzarella
218,188,AlastairHumphreys
219,189,StigWemyss
220,190,KristinAtherton
221,191,NickWalther
222,191,LissaEvans
223,191,RamóndeOcampo
224,191,MarionTrintignant
225,192,AndrewPeterson
226,192,ChristianZeiger
227,192,anonymous
228,193,ShannonMcManus
229,193,DavidPittu
230,194,AvinashRamachander
231,195,BrianChristopher
232,196,SeetalIyer
233,196,ElizabethKlett
234,196,MontseHernandez
235,197,LenForgione
236,198,WinstonBromhead
237,198,I'keMitchell
238,199,AimeeLilly
239,200,ChristopherGebauer
240,201,EmilyEllet
241,202,JaninaEdwards
242,203,KevinCalderón
243,204,RogerSerradell
244,204,RogerSerradell
245,205,DorothéePousseo
246,205,ValtteriLehtinen
247,206,RogerSerradell
248,206,RogerSerradell
249,207,ClotildeDonna
250,208,ValtteriLehtinen
251,208,KevinCalderón
252,209,RubenBrinkman
253,209,KirbyHeyborne
254,210,JenniferJillAraya
255,210,KeylorLeigh
256,211,AyshaKala
257,212,JorjeanaMarie
258,212,LenForgione
259,213,WinstonBromhead
260,213,I'keMitchell
261,214,JorjeanaMarie
262,215,KatherineKellgren
263,216,ElliotChapman
264,217,JorjeanaMarie
265,218,AimeeLilly
266,219,KateWinslet
267,220,LenForgione
268,221,DazjonFreeman
269,222,BenD'Amico
270,223,JorjeanaMarie
271,224,RamondeOcampo
272,225,LaurenFortgang
273,226,TimGregory
274,227,KatherineKellgren
275,228,RupertDegas
276,229,TimGregory
277,230,Jean-PaulBibé
278,231,AlastairHumphreys
279,232,AlastairHumphreys
280,233,GermánGijón
281,234,GigiBigot
282,235,ChloéCardinaud
283,236,NatachaFabry
284,237,MartialLeMinoux
285,238,OlivierClément
286,238,StéphanieHédin
287,239,OlivierClément
288,240,NatachaFabry
289,241,VanessaParachou
290,242,PatriceBaudrier
291,243,Jean-PaulBibé
292,244,MartialLeMinoux
293,245,AnneLehmann
294,246,ArantxadeSarabia
295,247,BenjaminHagberg
296,248,BenjaminHagberg
297,249,BenjaminHagberg
298,250,GrantSwanby
299,251,VanessaParachou
300,252,PatriceBaudrier
301,253,GuyChapellier
302,254,VanessaParachou
303,254,PatriceBaudrier
304,255,MarcoQuaglia
305,255,EmmanuelleLemée
306,256,EmmanuelleLemée
307,257,CarlosCuevas
308,258,GermánGijón
309,259,GermánGijón
310,260,ConstanzeWeinig
311,261,ÁlexdePorrata
312,262,KevinCalderón
313,263,JohnnyHeller
314,264,MiriamMonlleo
315,265,MiriamMonlleo
316,266,MiriamMonlleo
317,266,MiriamMonlleo
318,267,Ari-MattiHedman
319,267,MiriamMonlleo
320,268,MiriamMonlleo
